feature,gini,gini_normalized,avg_importance
BB_Width,0.09726166974713657,100.0,100.0
Return_Lag1,0.0637916193907808,65.58762517302851,65.58762517302851
Return_Lag3,0.06252686398283172,64.28726151359595,64.28726151359595
RSI,0.05356158011080206,55.06956671631574,55.06956671631574
OBV,0.05314875424063596,54.645118039628024,54.645118039628024
MACD,0.05261183002466941,54.09307712015538,54.09307712015538
Return_Lag5,0.05120423349941893,52.64585075759138,52.64585075759138
Vol_Ratio,0.05065395721809745,52.08008185525597,52.08008185525597
MACD_Signal,0.04928357963170542,50.671122303199354,50.671122303199354
EMA_12,0.04839486450198088,49.757386057425414,49.757386057425414
Acceleration,0.04705058770576634,48.375262143956284,48.375262143956284
MACD_Histogram,0.046743138732106004,48.059157172224204,48.059157172224204
RSI_Delta,0.046419876508348244,47.72679374005387,47.72679374005387
Price_Momentum_10,0.04530290600702711,46.57837576180503,46.57837576180503
ZMomentum,0.04487085252618286,46.13415813530579,46.13415813530579
EMA_26,0.04010168262330988,41.23071578718244,41.23071578718244
MA_20,0.039235850223194174,40.340506517316186,40.340506517316186
RSI_Lag_5,0.03747566331892667,38.530762854839814,38.530762854839814
RSI_Lag_1,0.036668593591766004,37.70097067744978,37.70097067744978
RSI_Lag_3,0.03369189641531353,34.64046679735871,34.64046679735871
