Date,Ticker,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX
0,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2007-01-03,4.664000034332275,4.664000034332275,4.6579999923706055,4.691999912261963,4.636000156402588,0.0,4.664000034332275,4.664000034332275,4.6579999923706055,4.691999912261963,4.636000156402588,0.0,4.664000034332275,4.664000034332275,4.6579999923706055,4.691999912261963,4.636000156402588,0.0,4.664000034332275,4.664000034332275,4.6579999923706055,4.691999912261963,4.636000156402588,0.0,4.664000034332275,4.664000034332275,4.6579999923706055,4.691999912261963,4.636000156402588,0.0,4.664000034332275,4.664000034332275,4.6579999923706055,4.691999912261963,4.636000156402588,0.0
2,2007-01-04,4.618000030517578,4.618000030517578,4.656000137329102,4.662000179290772,4.602000236511231,0.0,4.618000030517578,4.618000030517578,4.656000137329102,4.662000179290772,4.602000236511231,0.0,4.618000030517578,4.618000030517578,4.656000137329102,4.662000179290772,4.602000236511231,0.0,4.618000030517578,4.618000030517578,4.656000137329102,4.662000179290772,4.602000236511231,0.0,4.618000030517578,4.618000030517578,4.656000137329102,4.662000179290772,4.602000236511231,0.0,4.618000030517578,4.618000030517578,4.656000137329102,4.662000179290772,4.602000236511231,0.0
3,2007-01-05,4.645999908447266,4.645999908447266,4.586999893188477,4.699999809265137,4.583000183105469,0.0,4.645999908447266,4.645999908447266,4.586999893188477,4.699999809265137,4.583000183105469,0.0,4.645999908447266,4.645999908447266,4.586999893188477,4.699999809265137,4.583000183105469,0.0,4.645999908447266,4.645999908447266,4.586999893188477,4.699999809265137,4.583000183105469,0.0,4.645999908447266,4.645999908447266,4.586999893188477,4.699999809265137,4.583000183105469,0.0,4.645999908447266,4.645999908447266,4.586999893188477,4.699999809265137,4.583000183105469,0.0
4,2007-01-08,4.659999847412109,4.659999847412109,4.668000221252441,4.677999973297119,4.65399980545044,0.0,4.659999847412109,4.659999847412109,4.668000221252441,4.677999973297119,4.65399980545044,0.0,4.659999847412109,4.659999847412109,4.668000221252441,4.677999973297119,4.65399980545044,0.0,4.659999847412109,4.659999847412109,4.668000221252441,4.677999973297119,4.65399980545044,0.0,4.659999847412109,4.659999847412109,4.668000221252441,4.677999973297119,4.65399980545044,0.0,4.659999847412109,4.659999847412109,4.668000221252441,4.677999973297119,4.65399980545044,0.0
5,2007-01-09,4.656000137329102,4.656000137329102,4.659999847412109,4.670000076293945,4.644000053405762,0.0,4.656000137329102,4.656000137329102,4.659999847412109,4.670000076293945,4.644000053405762,0.0,4.656000137329102,4.656000137329102,4.659999847412109,4.670000076293945,4.644000053405762,0.0,4.656000137329102,4.656000137329102,4.659999847412109,4.670000076293945,4.644000053405762,0.0,4.656000137329102,4.656000137329102,4.659999847412109,4.670000076293945,4.644000053405762,0.0,4.656000137329102,4.656000137329102,4.659999847412109,4.670000076293945,4.644000053405762,0.0
6,2007-01-10,4.682000160217285,4.682000160217285,4.665999889373779,4.699999809265137,4.659999847412109,0.0,4.682000160217285,4.682000160217285,4.665999889373779,4.699999809265137,4.659999847412109,0.0,4.682000160217285,4.682000160217285,4.665999889373779,4.699999809265137,4.659999847412109,0.0,4.682000160217285,4.682000160217285,4.665999889373779,4.699999809265137,4.659999847412109,0.0,4.682000160217285,4.682000160217285,4.665999889373779,4.699999809265137,4.659999847412109,0.0,4.682000160217285,4.682000160217285,4.665999889373779,4.699999809265137,4.659999847412109,0.0
7,2007-01-11,4.736999988555908,4.736999988555908,4.71999979019165,4.752999782562256,4.705999851226807,0.0,4.736999988555908,4.736999988555908,4.71999979019165,4.752999782562256,4.705999851226807,0.0,4.736999988555908,4.736999988555908,4.71999979019165,4.752999782562256,4.705999851226807,0.0,4.736999988555908,4.736999988555908,4.71999979019165,4.752999782562256,4.705999851226807,0.0,4.736999988555908,4.736999988555908,4.71999979019165,4.752999782562256,4.705999851226807,0.0,4.736999988555908,4.736999988555908,4.71999979019165,4.752999782562256,4.705999851226807,0.0
8,2007-01-12,4.770999908447266,4.770999908447266,4.743000030517578,4.77899980545044,4.741000175476074,0.0,4.770999908447266,4.770999908447266,4.743000030517578,4.77899980545044,4.741000175476074,0.0,4.770999908447266,4.770999908447266,4.743000030517578,4.77899980545044,4.741000175476074,0.0,4.770999908447266,4.770999908447266,4.743000030517578,4.77899980545044,4.741000175476074,0.0,4.770999908447266,4.770999908447266,4.743000030517578,4.77899980545044,4.741000175476074,0.0,4.770999908447266,4.770999908447266,4.743000030517578,4.77899980545044,4.741000175476074,0.0
9,2007-01-16,4.750999927520752,4.750999927520752,4.756999969482422,4.764999866485596,4.736999988555908,0.0,4.750999927520752,4.750999927520752,4.756999969482422,4.764999866485596,4.736999988555908,0.0,4.750999927520752,4.750999927520752,4.756999969482422,4.764999866485596,4.736999988555908,0.0,4.750999927520752,4.750999927520752,4.756999969482422,4.764999866485596,4.736999988555908,0.0,4.750999927520752,4.750999927520752,4.756999969482422,4.764999866485596,4.736999988555908,0.0,4.750999927520752,4.750999927520752,4.756999969482422,4.764999866485596,4.736999988555908,0.0
