feature,corr_1d,corr_5d,corr_20d,abs_corr_5d
Macro_10Y_Yield,-0.027859645241920198,-0.06347631762180159,-0.12654245316454255,0.06347631762180159
Macro_Inflation_Proxy,-0.027859645241920198,-0.06347631762180159,-0.12654245316454255,0.06347631762180159
Macro_Cycle_Position,-0.034640316428118566,-0.058272324505497866,-0.09255743963436604,0.058272324505497866
Macro_Low_Inflation,0.024429062063696334,0.056562735807472606,0.1101984374326837,0.056562735807472606
Macro_Growth_Momentum_3m,-0.03368225537893845,-0.05229868548134983,-0.041144074197107305,0.05229868548134983
Macro_High_Inflation,-0.01980898644047107,-0.05120965891929146,-0.09412691077783993,0.05120965891929146
Macro_Low_Rate_Regime,0.019897807535820107,0.04412665769512766,0.08850068639898918,0.04412665769512766
Macro_High_Rate_Regime,-0.016382567411955904,-0.03864454339666492,-0.07336163406235365,0.03864454339666492
Macro_Easing_Cycle,0.014157681883446587,0.03817706711576743,0.07367817777258663,0.03817706711576743
Macro_Rate_Change_6m,-0.01653710450244704,-0.03684427507261691,-0.052240089812108786,0.03684427507261691
Macro_Trough,0.020004520132506545,0.034637343556174094,0.026343857477817825,0.034637343556174094
Macro_Rate_Change_3m,-0.01146949220940198,-0.0247405975535649,-0.010652153227697204,0.0247405975535649
Macro_Inflation_Acceleration,-0.01146949220940198,-0.0247405975535649,-0.010652153227697204,0.0247405975535649
Macro_Above_MA50,-0.011360217250752482,-0.02216994010597851,-0.03520722284494893,0.02216994010597851
Macro_Expansion,0.003865844522115713,0.01845174318563904,0.03493785156084103,0.01845174318563904
Macro_Above_MA200,0.0035084010394906702,0.018425710839148766,0.05554860301598552,0.018425710839148766
Macro_Market_Trend_Strength,0.0035084010394906702,0.018425710839148766,0.05554860301598552,0.018425710839148766
Macro_Recession_Signal,0.01879582959360131,0.018179885584908836,0.030225634496617578,0.018179885584908836
Macro_Recovery_Signal,-0.010522024413870333,-0.01661530248049671,0.015526750279902518,0.01661530248049671
Macro_Rate_Change_1y,-0.008826365893111471,-0.016456389631968802,-0.02256213114677372,0.016456389631968802
Macro_Financial_Conditions_Tight,-0.006898988577819515,-0.015148652165532024,0.004711001478823805,0.015148652165532024
Macro_Financial_Stress,0.003788781837396551,0.014010037729141302,0.03847218560430401,0.014010037729141302
Macro_Financial_Conditions_Loose,-0.0073765988315429186,-0.012209256648610906,-0.016498701639464486,0.012209256648610906
Macro_Peak,-0.0017797538064177369,-0.009474941770143587,-0.018646318486698666,0.009474941770143587
Macro_Rate_Volatility,0.003498250198786297,0.008603574477934988,0.015080974034338435,0.008603574477934988
Macro_Inflation_Uncertainty,0.003498250198786297,0.008603574477934988,0.015080974034338435,0.008603574477934988
Macro_Complacency,-0.0058396811745093456,-0.008231186533863026,0.006677757297001635,0.008231186533863026
Macro_Target_Inflation,0.0004854633128158677,0.007199749450359903,0.007531443257631501,0.007199749450359903
Macro_Tightening_Cycle,-0.001650641023963313,0.006532568908084597,-0.004677410887133401,0.006532568908084597
Macro_Growth_Momentum_1y,-0.008811043029165525,-0.006247162970010627,0.0032302199320749826,0.006247162970010627
Macro_Growth_Momentum_6m,-0.011789360804418093,-0.005790769560756052,-0.007808053797214782,0.005790769560756052
Macro_Contraction,0.01829090828759913,0.005753008137108799,-0.005593496833575624,0.005753008137108799
Macro_Normal_Rate_Regime,-0.0031100817993640812,-0.004528454584870948,-0.013422907630203339,0.004528454584870948
Macro_Policy_Error_Risk,0.0012312103331419291,0.0012190660065776163,-0.02273732762880392,0.0012190660065776163
