Price,Adj Close,Close,High,Low,Open,Volume
Ticker,XLE,XLE,XLE,XLE,XLE,XLE
Date,,,,,,
2025-10-06,89.3499984741211,89.3499984741211,89.86000061035156,88.98999786376953,89.47000122070312,10744200
2025-10-07,89.48999786376953,89.48999786376953,89.55999755859375,87.91000366210938,89.2699966430664,12662000
2025-10-08,88.97000122070312,88.97000122070312,89.48999786376953,88.30000305175781,89.48999786376953,10012100
2025-10-09,87.76000213623047,87.76000213623047,89.91999816894531,87.66999816894531,89.16000366210938,11698900
2025-10-10,85.22000122070312,85.22000122070312,87.55000305175781,85.19000244140625,87.11000061035156,22446100
2025-10-13,86.37999725341797,86.37999725341797,86.48999786376953,85.58999633789062,85.87000274658203,11444800
2025-10-14,86.37000274658203,86.37000274658203,86.86000061035156,85.04000091552734,85.1500015258789,12542300
2025-10-15,86.31999969482422,86.31999969482422,87.41000366210938,85.68000030517578,86.91999816894531,12133500
2025-10-16,85.27999877929688,85.27999877929688,86.7300033569336,84.69999694824219,86.47000122070312,14596900
2025-10-17,85.9800033569336,85.9800033569336,86.16000366210938,85.29000091552734,85.63999938964844,12035900
2025-10-20,86.88999938964844,86.88999938964844,87.08999633789062,86.12999725341797,86.12999725341797,12676200
2025-10-21,86.69000244140625,86.69000244140625,87.33000183105469,86.25,87.12999725341797,12942600
2025-10-22,87.80000305175781,87.80000305175781,88.18000030517578,86.54000091552734,87.2699966430664,16407000
2025-10-23,88.97000122070312,88.97000122070312,89.55999755859375,88.43000030517578,89.37000274658203,23654400
2025-10-24,88.06999969482422,88.06999969482422,89.4000015258789,88.01000213623047,89.37000274658203,10595500
2025-10-27,88.27999877929688,88.27999877929688,88.63999938964844,87.88999938964844,88.3499984741211,9798600
2025-10-28,87.36000061035156,87.36000061035156,88.2300033569336,87.30999755859375,87.94999694824219,11237300
2025-10-29,88.01000213623047,88.01000213623047,88.45999908447266,87.27999877929688,87.45999908447266,13403900
2025-10-30,87.48999786376953,87.48999786376953,88.62000274658203,87.37000274658203,87.9800033569336,10331700
2025-10-31,88.12999725341797,88.12999725341797,88.62999725341797,87.31999969482422,87.69999694824219,13492700
2025-11-03,88.13999938964844,88.13999938964844,88.37999725341797,87.12999725341797,88.1500015258789,11116000
2025-11-04,87.19000244140625,87.19000244140625,87.43000030517578,86.37000274658203,87.05999755859375,14738800
2025-11-05,87.41999816894531,87.41999816894531,88.38999938964844,87.08499908447266,87.19999694824219,11576375
