Stage,Features,Accuracy,F1_Score
Baseline,103,0.5838461538461538,0.45845845845845845
+ Cross-Asset,130,0.6146153846153846,0.45125958378970427
+ Macro (FINAL),164,0.6230769230769231,0.4289044289044289
