threshold,accuracy,precision,recall,f1,profit_score,sharpe,actual_profit,win_rate,n_trades
0.3,0.29846153846153844,0.29846153846153844,1.0,0.4597156398104265,-0.40307692307692305,-0.4404412731593037,0.00020134362714829208,0.29846153846153844,1300
0.4,0.3038461538461538,0.300077339520495,1.0,0.46162998215348006,-0.3976923076923077,-0.4348360931544204,0.0001998562700237749,0.300077339520495,1293
0.5,0.3038461538461538,0.300077339520495,1.0,0.46162998215348006,-0.3976923076923077,-0.4348360931544204,0.0001998562700237749,0.300077339520495,1293
0.55,0.7192307692307692,0.9259259259259259,0.06443298969072164,0.12048192771084337,0.01769230769230769,0.12370061675200099,0.014621047646544613,0.9259259259259259,27
0.6,0.7138461538461538,0.9444444444444444,0.04381443298969072,0.08374384236453201,0.012307692307692308,0.10517215488827715,0.015382069091911504,0.9444444444444444,18
0.65,0.7046153846153846,1.0,0.010309278350515464,0.02040816326530612,0.003076923076923077,0.05555555555555555,0.021021416042367753,1.0,4
0.7,0.7015384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
