,Accuracy,Precision,Recall,F1 Score
xgboost,0.3038461538461538,0.300077339520495,1.0,0.46162998215348006
lightgbm,0.5823076923076923,0.37756714060031593,0.615979381443299,0.4681684622918707
catboost,0.5607692307692308,0.36444444444444446,0.634020618556701,0.4628410159924741
