Model,Features,Accuracy,F1_Score,Avg_Profit,Win_Rate,N_Trades
Ensemble (Regime),106,0.5807692307692308,0.4630541871921182,0.0002469663957232735,0.5199362041467305,627.0
LightGBM (Regime),106,0.5784615384615385,0.4700193423597679,0.00043823153732688007,0.5294117647058824,646.0
"LightGBM (Regime, Profit-Opt @ 0.85)",106,0.7023076923076923,0.005141388174807198,0.010314732962442303,1.0,1.0
