Threshold,Accuracy,Precision,Recall,F1_Score,Avg_Profit_Per_Trade,Win_Rate,N_Trades
0.3,0.3707692307692308,0.3140138408304498,0.9355670103092784,0.47020725388601037,0.00023670665317833143,0.5302768166089965,1156
0.35,0.41846153846153844,0.32205029013539654,0.8582474226804123,0.46835443037974683,0.00010672705098491172,0.5164410058027079,1034
0.39999999999999997,0.4776923076923077,0.3427027027027027,0.8170103092783505,0.48286367098248284,0.00028728201048278655,0.5264864864864864,925
0.44999999999999996,0.5330769230769231,0.3615676359039191,0.7371134020618557,0.4851569126378287,0.00041596034009119934,0.5246523388116309,791
0.49999999999999994,0.5784615384615385,0.3761609907120743,0.6262886597938144,0.4700193423597679,0.00043823153732688007,0.5294117647058824,646
0.5499999999999999,0.6130769230769231,0.3896353166986564,0.5231958762886598,0.44664466446644663,0.0005381218133276208,0.5297504798464492,521
0.5999999999999999,0.6323076923076923,0.37771739130434784,0.3582474226804124,0.36772486772486773,0.0003853715301904349,0.5135869565217391,368
0.6499999999999999,0.6638461538461539,0.39574468085106385,0.23969072164948454,0.2985553772070626,0.00041911950830402015,0.5063829787234042,235
0.7,0.683076923076923,0.3983050847457627,0.1211340206185567,0.1857707509881423,0.0004965556623862792,0.5084745762711864,118
0.7499999999999999,0.6961538461538461,0.42857142857142855,0.05412371134020619,0.09610983981693363,0.000808369900480598,0.5306122448979592,49
0.7999999999999998,0.7,0.4375,0.01804123711340206,0.034653465346534656,0.0016511762596319278,0.5625,16
0.8499999999999999,0.7023076923076923,1.0,0.002577319587628866,0.005141388174807198,0.010314732962442303,1.0,1
