Metric,Baseline,With Regime,Improvement,% Change
Accuracy,0.5646153846153846,0.5838461538461538,0.019230769230769162,3.4059945504087072
Precision,0.363914373088685,0.37479541734860883,0.010881044259923811,2.9900012378109966
Recall,0.6134020618556701,0.5902061855670103,-0.023195876288659822,-3.7815126050420216
F1 Score,0.45681381957773515,0.45845845845845845,0.0016446388807233037,0.36002388943564756
Features,78.0,103.0,25.0,32.05128205128205
Training Time (s),0.912802,0.940887,0.028085000000000027,3.076789928155287
