Model,Accuracy,Precision,Recall,F1_Score,Features
Baseline (103 features),0.5838461538461538,0.37479541734860883,0.5902061855670103,0.45845845845845845,103
With Cross-Asset (130 features),0.6146153846153846,0.3923809523809524,0.5309278350515464,0.45125958378970427,130
